tkid,place,lat,lon,impact,description_en,description_ru,link1,link1Time,link2,link2Time,link3,link3Time,tag
1,dostuk,40.05229068,70.63277194,civinfra,School,Школа,https://youtu.be/JvugPEjieZU?t=531,531.0,,,,,socialmedia
2,dostuk,40.05256826,70.63278313,civinfra,Kindergarten,Детский сад,https://youtu.be/vBazRrT6tnQ?t=131,131.0,https://t.me/batken1/1392?single,43.0,https://youtu.be/JvugPEjieZU?t=570,570.0,socialmedia
3,dostuk,40.05272614,70.63291711,civinfra,Medical unit,ФАП,https://youtu.be/vBazRrT6tnQ?t=131,131.0,https://t.me/batken1/1392?single,18.0,https://youtu.be/JvugPEjieZU?t=601,601.0,socialmedia
4,dostuk,40.0529363,70.6322936,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=131,131.0,,,,,socialmedia
5,dostuk,40.0526721,70.63202613,privateprop,,,,,,,,,satellite
6,dostuk,40.05235107,70.63204254,privateprop,,,https://t.me/batken1/1392?single,85.0,,,,,socialmedia
7,dostuk,40.05253555,70.63160599,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,https://t.me/batken1/1392?single,126.0,,,socialmedia
8,dostuk,40.05217065,70.63145763,privateprop,,,,,,,,,satellite
9,dostuk,40.05206999,70.63090058,privateprop,,,,,,,,,satellite
10,dostuk,40.05228775,70.63031801,privateprop,,,,,,,,,satellite
11,dostuk,40.04916602,70.6288643,privateprop,,,,,,,,,satellite
12,dostuk,40.05030809,70.62921313,privateprop,,,,,,,,,satellite
13,dostuk,40.05036523,70.62876699,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=2091,2091.0,https://youtu.be/JvugPEjieZU?t=199,199.0,,,socialmedia
14,dostuk,40.04988316,70.62912308,privateprop,,,,,,,,,satellite
15,dostuk,40.04980344,70.62966769,privateprop,,,,,,,,,satellite
16,dostuk,40.05000803,70.62982317,privateprop,,,,,,,,,satellite
17,dostuk,40.05132969,70.6291046,privateprop,,,,,,,,,satellite
18,dostuk,40.05046479,70.63081113,privateprop,,,,,,,,,satellite
19,dostuk,40.05089751,70.63062469,privateprop,,,,,,,,,satellite
20,dostuk,40.05077573,70.63034183,privateprop,,,,,,,,,satellite
21,dostuk,40.05147814,70.63022037,privateprop,,,,,,,,,satellite
22,dostuk,40.05175183,70.63073382,privateprop,,,,,,,,,satellite
23,dostuk,40.05175429,70.63160442,privateprop,,,,,,,,,satellite
24,dostuk,40.05151207,70.62922811,privateprop,,,,,,,,,satellite
25,dostuk,40.05133013,70.62975623,privateprop,,,,,,,,,satellite
26,dostuk,40.05184678,70.6299726,privateprop,,,,,,,,,satellite
27,dostuk,40.05194969,70.62960671,privateprop,,,,,,,,,satellite
28,dostuk,40.05214595,70.62917858,privateprop,,,,,,,,,satellite
29,dostuk,40.05201113,70.62883718,privateprop,,,,,,,,,satellite
30,dostuk,40.05223402,70.62880306,privateprop,,,,,,,,,satellite
31,dostuk,40.05236276,70.62965031,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=1391,1391.0,,,,,socialmedia
32,dostuk,40.05292282,70.62951654,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=1293,1293.0,,,,,socialmedia
33,dostuk,40.05296757,70.62925894,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=1258 ,,,,,,socialmedia
34,dostuk,40.05326352,70.6285691,privateprop,,,,,,,,,satellite
35,dostuk,40.05381641,70.62899432,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=514,514.0,,,,,socialmedia
36,dostuk,40.05387866,70.6294919,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=257,257.0,,,,,socialmedia
37,dostuk,40.05392832,70.63005589,privateprop,,,,,,,,,satellite
38,dostuk,40.05410402,70.63078762,privateprop,,,,,,,,,satellite
39,dostuk,40.05276074,70.63040648,privateprop,,,,,,,,,satellite
40,dostuk,40.05246737,70.63103183,privateprop,,,,,,,,,satellite
41,dostuk,40.05272891,70.63102393,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,,,,,socialmedia
42,dostuk,40.05269253,70.63159553,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,https://t.me/batken1/1392?single,157.0,,,socialmedia
43,dostuk,40.05308014,70.63118575,privateprop,,,,,,,,,satellite
44,dostuk,40.05337844,70.63067378,privateprop,,,,,,,,,satellite
45,dostuk,40.05435068,70.63258328,privateprop,,,,,,,,,satellite
46,dostuk,40.05394077,70.63173765,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,,,,,socialmedia
