tkid,place,lat,lon,impact,description_en,description_ru,link1,link1Time,link2,link2Time,link3,link3Time,tag
1,dostuk,40.05229068,70.63277194,civinfra,School,,https://youtu.be/JvugPEjieZU?t=531,531.0,,,,,socialmedia
2,dostuk,40.05256826,70.63278313,civinfra,Kindergarten,,https://youtu.be/vBazRrT6tnQ?t=131,131.0,https://t.me/batken1/1392?single,43.0,https://youtu.be/JvugPEjieZU?t=570,570.0,socialmedia
3,dostuk,40.05272614,70.63291711,civinfra,Medical unit,,https://youtu.be/vBazRrT6tnQ?t=131,131.0,https://t.me/batken1/1392?single,18.0,https://youtu.be/JvugPEjieZU?t=601,601.0,socialmedia
4,dostuk,40.0529363,70.6322936,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=131,131.0,,,,,socialmedia
5,dostuk,40.0526721,70.63202613,privateprop,,,,,,,,,satellite
6,dostuk,40.05235107,70.63204254,privateprop,,,https://t.me/batken1/1392?single,85.0,,,,,socialmedia
7,dostuk,40.05253555,70.63160599,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,https://t.me/batken1/1392?single,126.0,,,socialmedia
8,dostuk,40.05217065,70.63145763,privateprop,,,,,,,,,satellite
9,dostuk,40.05206999,70.63090058,privateprop,,,,,,,,,satellite
10,dostuk,40.05228775,70.63031801,privateprop,,,,,,,,,satellite
11,dostuk,40.04916602,70.6288643,privateprop,,,,,,,,,satellite
12,dostuk,40.05030809,70.62921313,privateprop,,,,,,,,,satellite
13,dostuk,40.05036523,70.62876699,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=2091,2091.0,https://youtu.be/JvugPEjieZU?t=199,199.0,,,socialmedia
14,dostuk,40.04988316,70.62912308,privateprop,,,,,,,,,satellite
15,dostuk,40.04980344,70.62966769,privateprop,,,,,,,,,satellite
16,dostuk,40.05000803,70.62982317,privateprop,,,,,,,,,satellite
17,dostuk,40.05132969,70.6291046,privateprop,,,,,,,,,satellite
18,dostuk,40.05046479,70.63081113,privateprop,,,,,,,,,satellite
19,dostuk,40.05089751,70.63062469,privateprop,,,,,,,,,satellite
20,dostuk,40.05077573,70.63034183,privateprop,,,,,,,,,satellite
21,dostuk,40.05147814,70.63022037,privateprop,,,,,,,,,satellite
22,dostuk,40.05175183,70.63073382,privateprop,,,,,,,,,satellite
23,dostuk,40.05175429,70.63160442,privateprop,,,,,,,,,satellite
24,dostuk,40.0520413,70.631944,privateprop,,,,,,,,,satellite
25,dostuk,40.05151207,70.62922811,privateprop,,,,,,,,,satellite
26,dostuk,40.05133013,70.62975623,privateprop,,,,,,,,,satellite
27,dostuk,40.05184678,70.6299726,privateprop,,,,,,,,,satellite
28,dostuk,40.05194969,70.62960671,privateprop,,,,,,,,,satellite
29,dostuk,40.05214595,70.62917858,privateprop,,,,,,,,,satellite
30,dostuk,40.05201113,70.62883718,privateprop,,,,,,,,,satellite
31,dostuk,40.05223402,70.62880306,privateprop,,,,,,,,,satellite
32,dostuk,40.05236276,70.62965031,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=1391,1391.0,,,,,socialmedia
33,dostuk,40.05292282,70.62951654,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=1293,1293.0,,,,,socialmedia
34,dostuk,40.05296757,70.62925894,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=1395,1395.0,,,,,socialmedia
35,dostuk,40.05260969,70.62893462,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=1392,1392.0,,,,,socialmedia
36,dostuk,40.05326352,70.6285691,privateprop,,,,,,,,,satellite
37,dostuk,40.05381641,70.62899432,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=514,514.0,,,,,socialmedia
38,dostuk,40.05387866,70.6294919,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=257,257.0,,,,,socialmedia
39,dostuk,40.05392832,70.63005589,privateprop,,,,,,,,,satellite
40,dostuk,40.05410402,70.63078762,privateprop,,,,,,,,,satellite
41,dostuk,40.05276074,70.63040648,privateprop,,,,,,,,,satellite
42,dostuk,40.05246737,70.63103183,privateprop,,,,,,,,,satellite
43,dostuk,40.05272891,70.63102393,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,,,,,socialmedia
44,dostuk,40.05269253,70.63159553,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,https://t.me/batken1/1392?single,157.0,,,socialmedia
45,dostuk,40.05308014,70.63118575,privateprop,,,,,,,,,satellite
46,dostuk,40.05337844,70.63067378,privateprop,,,,,,,,,satellite
47,dostuk,40.05435068,70.63258328,privateprop,,,,,,,,,satellite
48,dostuk,40.05394077,70.63173765,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,,,,,socialmedia
49,dostuk,40.05418866,70.63134679,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,,,,,socialmedia
50,dostuk,40.05454593,70.63117721,privateprop,,,,,,,,,satellite
51,dostuk,40.05460208,70.63077788,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,,,,,socialmedia
52,dostuk,40.05450563,70.6304289,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=154,154.0,,,,,socialmedia
53,dostuk,40.05431556,70.62999735,privateprop,,,,,,,,,satellite
54,dostuk,40.05424378,70.62965527,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=255,255.0,,,,,socialmedia
55,dostuk,40.05418128,70.6293153,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=251,251.0,,,,,socialmedia
56,dostuk,40.05459475,70.62910266,privateprop,,,https://youtu.be/vBazRrT6tnQ?t=247,247.0,,,,,socialmedia
57,borborduk,40.18818809,69.82864884,civinfra,Police Station,,https://fb.watch/jk0s06_Xq6/,126.0,,,,,socialmedia
58,borborduk,,69.82780618,civinfra,Municipality Building ,,https://fb.watch/jk0s06_Xq6/,103.0,,,,,socialmedia
59,borborduk,40.18089739,69.79597606,privateprop,Hotel,,https://youtu.be/6wskc5TIvGQ?t=2567,2567.0,,,,,socialmedia
60,borborduk,40.19149107,69.83647031,privateprop,,,,,,,,,satellite
61,borborduk,40.18660708,69.83015517,privateprop,,,,,,,,,satellite
62,borborduk,40.18723545,69.82834195,privateprop,,,,,,,,,satellite
63,borborduk,40.18757293,69.82933816,privateprop,,,,,,,,,satellite
64,borborduk,40.18746162,69.82902011,privateprop,,,,,,,,,satellite
65,maksat,40.12790161,69.69333127,civinfra,Municipality Building ,,https://youtu.be/x5ubzv86-VQ?t=132,132.0,,,,,socialmedia
66,maksat,40.135253,69.703747,privateprop,,,,,,,,,satellite
67,maksat,40.13500819,69.70354465,privateprop,,,https://youtu.be/x5ubzv86-VQ?t=605,605.0,,,,,socialmedia
68,maksat,40.13472031,69.70325171,privateprop,,,https://youtu.be/x5ubzv86-VQ?t=550,550.0,,,,,socialmedia
69,maksat,40.1283307,69.69338396,privateprop,,,https://youtu.be/x5ubzv86-VQ?t=54,54.0,,,,,socialmedia
70,maksat,40.12379927,69.68608472,privateprop,,,https://youtu.be/raWjX-jtYkU?t=162,162.0,,,,,socialmedia
71,maksat,40.12866753,69.69427472,privateprop,,,https://youtu.be/raWjX-jtYkU?t=201,201.0,,,,,socialmedia
72,maksat,40.12374455,69.68457834,privateprop,,,,,,,,,satellite
73,maksat,40.12469236,69.68421643,privateprop,,,,,,,,,satellite
74,maksat,40.12426052,69.68459316,privateprop,,,,,,,,,satellite
75,maksat,40.12339269,69.68502113,privateprop,,,,,,,,,satellite
76,maksat,40.12465781,69.68575757,privateprop,,,,,,,,,satellite
77,maksat,40.12442476,69.68550208,privateprop,,,,,,,,,satellite
78,maksat,40.12417263,69.68575761,privateprop,,,,,,,,,satellite
79,maksat,40.12432698,69.68698525,privateprop,,,,,,,,,satellite
80,maksat,40.12402782,69.68726835,privateprop,,,,,,,,,satellite
81,maksat,40.12408289,69.68759348,privateprop,,,,,,,,,satellite
82,maksat,40.12156765,69.68809396,privateprop,,,,,,,,,satellite
83,maksat,40.12452795,69.69043847,privateprop,,,,,,,,,satellite
84,maksat,40.1257099,69.6944056,privateprop,,,,,,,,,satellite
85,maksat,40.1299908,69.69731824,privateprop,,,,,,,,,satellite
86,maksat,40.13498212,69.70653735,privateprop,,,,,,,,,satellite
87,maksat,40.13525392,69.70374689,privateprop,,,,,,,,,satellite
88,maksat,40.12793303,69.69230219,privateprop,,,,,,,,,satellite
89,maksat,40.12718301,69.69208735,privateprop,,,,,,,,,satellite
90,maksat,40.12688869,69.69221641,privateprop,,,,,,,,,satellite
91,chorkishlok,40.06594915,70.62324076,privateprop,,,https://asiaplustj.info/sites/default/files/articles/316877/1.JPG,,https://www.asiaplustj.info/ru/news/tajikistan/society/20220928/telo-otvezli-v-drugoe-selo-potomu-kladbitshe-obstrelivali-zhiteli-chorkishlok-rasskazali-kak-sobirali-tela-pogibshih,,,,socialmedia
92,chorkishlok,40.06452064,70.62437877,privateprop,,,https://t.me/today_tj/1388,,,,,,socialmedia
93,batken,40.05482036,70.81465654,privateprop,,,https://t.me/seychas_kg/13354,,,,,,socialmedia
94,lakkon,40.17184902,70.86549938,privateprop,,,https://youtu.be/xzdWXwGTLdA?t=99,99.0,,,,,socialmedia
95,lakkon,40.17180342,70.8649373,privateprop,,,,,,,,,satellite
96,lakkon,40.17160312,70.86464591,privateprop,,,https://youtu.be/xzdWXwGTLdA?t=391,391.0,,,,,socialmedia
97,lakkon,40.17217585,70.86513622,privateprop,,,https://youtu.be/xzdWXwGTLdA?t=531,531.0,,,,,socialmedia
98,lakkon,40.17148446,70.86445553,privateprop,,,https://youtu.be/xzdWXwGTLdA?t=473,473.0,,,,,socialmedia
99,lakkon,40.17087544,70.86443788,privateprop,,,,,,,,,satellite
100,ovchi-kalacha,40.12425713,69.68419473,privateprop,,,,,,,,,satellite
101,ovchi-kalacha,40.11661741,69.6850779,privateprop,,,https://www.facebook.com/asiaplustj/photos/pcb.5526168997448178/5526165780781833,,,,,,socialmedia
102,ovchi-kalacha,40.11675095,69.68476768,privateprop,,,,,,,,,satellite
103,ovchi-kalacha,40.11696564,69.68470327,privateprop,,,,,,,,,satellite
104,ovchi-kalacha,40.11721009,69.68509949,privateprop,,,,,,,,,satellite
105,ovchi-kalacha,40.11828079,69.6829665,privateprop,,,,,,,,,satellite
106,ovchi-kalacha,40.1264751,69.68413889,privateprop,,,https://gdb.rferl.org/09850000-0aff-0242-55f5-08da989a619f_w1597_n_st.jpeg,,,,,,socialmedia
107,ovchi-kalacha,40.12615357,69.68441803,privateprop,,,https://gdb.rferl.org/09850000-0aff-0242-7f19-08da9899f17f_w1597_n_st.jpeg,,https://gdb.rferl.org/09850000-0aff-0242-5741-08da989aafbd_w1023_s.jpeg,,,,socialmedia
108,ovchi-kalacha,40.12419955,69.68417116,privateprop,,,,,,,,,satellite
109,ovchi-kalacha,40.11656053,69.68481169,privateprop,,,,,,,,,satellite
110,international,40.12187132,69.6700486,privateprop,,,https://youtu.be/ioliQpD3_tM?t=27,27.0,https://youtu.be/raWjX-jtYkU?t=62,62.0,,,socialmedia
111,international,40.12205986,69.67009177,privateprop,,,,,,,,,satellite
112,international,40.12171852,69.6700321,privateprop,,,,,,,,,satellite
113,international,40.12162388,69.66994809,privateprop,,,,,,,,,satellite
114,international,40.11702422,69.67759088,privateprop,,,,,,,,,satellite
115,international,40.11563099,69.67980581,privateprop,,,,,,,,,satellite
116,international,40.11383719,69.68113217,privateprop,,,https://youtu.be/6-ujXU5i0bk?t=532,532.0,,,,,socialmedia
117,international,40.1172106,69.67910553,privateprop,,,,,,,,,satellite
